logicalEventKey,headSha,predictionCreatedAt,planMode,testsSelectedDiffci,testsTotalFull,recordedRunId,recordedRunPath,recordedConclusion,recordedConclusionOnGitHub,contaminationReason,evidenceRunsForHead,retroVerdict,retroEvidenceRunId,retroEvidenceConclusion,retroEvidenceCreatedAt,retroEvidenceCompletedAt,predictionPrecededRetroEvidence,predictionPrecededRetroEvidenceStart
adityankale190895/DentalPresence.in:6f0d4a6578975fe231c679dcf6ee4c04dc7dfd27:32453457803:1,6f0d4a6578975fe231c679dcf6ee4c04dc7dfd27,2026-08-21T06:12:43.651Z,SELECTIVE,9,349,32453457803,.github/workflows/codeql.yml,failure,failure,WRONG_WORKFLOW,1,EVIDENCE_NOT_EXECUTED,,,,,,
adityankale190895/DentalPresence.in:fca1f7ea2562e23166dbf24815b2be0425aca88e:32453781075:1,fca1f7ea2562e23166dbf24815b2be0425aca88e,2026-08-21T06:17:27.053Z,SELECTIVE,0,349,32453781075,.github/workflows/codeql.yml,failure,failure,WRONG_WORKFLOW,1,EVIDENCE_NOT_EXECUTED,,,,,,
adityankale190895/DentalPresence.in:b657ad4667bed68d3bc889d969cf6e7c09f8fa00:32454771561:1,b657ad4667bed68d3bc889d969cf6e7c09f8fa00,2026-08-21T06:32:15.458Z,SELECTIVE,0,349,32454771561,.github/workflows/codeql.yml,failure,failure,WRONG_WORKFLOW,1,EVIDENCE_NOT_EXECUTED,,,,,,
adityankale190895/DentalPresence.in:30a6359c619f84d2395f14e267c8b02da1abc910:32455159642:1,30a6359c619f84d2395f14e267c8b02da1abc910,2026-08-21T06:37:54.892Z,FULL,350,350,32455159642,.github/workflows/cloudflare-staging-deploy.yml,failure,skipped,NOT_EXECUTED,1,EVIDENCE_NOT_EXECUTED,,,,,,
adityankale190895/DentalPresence.in:4cc6b7cbd8c7355224aa085aa65a4718850935a5:32455590622:1,4cc6b7cbd8c7355224aa085aa65a4718850935a5,2026-08-21T06:44:15.971Z,SELECTIVE,1,351,32455590622,.github/workflows/cloudflare-staging-deploy.yml,failure,skipped,NOT_EXECUTED,1,EVIDENCE_NOT_EXECUTED,,,,,,
adityankale190895/DentalPresence.in:b7e5ee1c3a64b3ebfa86fbf687b731b66f423ce1:32456292249:1,b7e5ee1c3a64b3ebfa86fbf687b731b66f423ce1,2026-08-21T06:54:26.855Z,SELECTIVE,0,351,32456292249,.github/workflows/codeql.yml,failure,failure,WRONG_WORKFLOW,1,EVIDENCE_NOT_EXECUTED,,,,,,
adityankale190895/DentalPresence.in:6fdcdd38ca3f441103732810296a725fd01c8b13:32456459387:1,6fdcdd38ca3f441103732810296a725fd01c8b13,2026-08-21T06:56:42.049Z,FULL,351,351,32456459387,.github/workflows/codeql.yml,failure,failure,WRONG_WORKFLOW,1,EVIDENCE_NOT_EXECUTED,,,,,,
adityankale190895/DentalPresence.in:d63baa5a23a15a81584603173593539a68cc87d6:32458055366:1,d63baa5a23a15a81584603173593539a68cc87d6,2026-08-21T07:18:48.754Z,SELECTIVE,9,352,32458055366,.github/workflows/cloudflare-staging-deploy.yml,failure,skipped,NOT_EXECUTED,1,EVIDENCE_NOT_EXECUTED,,,,,,
adityankale190895/DentalPresence.in:dc88b3f2cbbd054bfdbde62ee6bcd74449f78b1e:32458086224:1,dc88b3f2cbbd054bfdbde62ee6bcd74449f78b1e,2026-08-21T07:19:14.831Z,SELECTIVE,0,352,32458086224,.github/workflows/codeql.yml,failure,failure,WRONG_WORKFLOW,1,EVIDENCE_NOT_EXECUTED,,,,,,
adityankale190895/DentalPresence.in:29372e5008d00c04cee04eb94d214d21aea16516:32458437328:1,29372e5008d00c04cee04eb94d214d21aea16516,2026-08-21T07:23:59.138Z,FULL,352,352,32458437328,.github/workflows/codeql.yml,failure,failure,WRONG_WORKFLOW,1,EVIDENCE_NOT_EXECUTED,,,,,,
adityankale190895/DentalPresence.in:284dd4cc611838646300c976a541d396c99c4272:32462478287:1,284dd4cc611838646300c976a541d396c99c4272,2026-08-21T08:17:28.983Z,SELECTIVE,0,352,32462478287,.github/workflows/codeql.yml,failure,failure,WRONG_WORKFLOW,1,EVIDENCE_NOT_EXECUTED,,,,,,
adityankale190895/DentalPresence.in:9f66f01b05ddef0cf54debe6d30e729ca54193e7:32463258459:1,9f66f01b05ddef0cf54debe6d30e729ca54193e7,2026-08-21T08:27:37.761Z,FULL,352,352,32463258459,.github/workflows/codeql.yml,failure,failure,WRONG_WORKFLOW,1,EVIDENCE_NOT_EXECUTED,,,,,,
adityankale190895/DentalPresence.in:dd3ac602ef9a12217654aff131e185a6476b1109:32463460876:1,dd3ac602ef9a12217654aff131e185a6476b1109,2026-08-21T08:30:16.569Z,FULL,352,352,32463460876,.github/workflows/cloudflare-staging-deploy.yml,failure,skipped,NOT_EXECUTED,1,EVIDENCE_NOT_EXECUTED,,,,,,
adityankale190895/DentalPresence.in:e1a251a10e67999f19db379ac1b6c644df8ace64:32465912915:1,e1a251a10e67999f19db379ac1b6c644df8ace64,2026-08-21T09:01:53.040Z,FULL,352,352,32465912915,.github/workflows/cloudflare-staging-deploy.yml,failure,skipped,NOT_EXECUTED,1,EVIDENCE_NOT_EXECUTED,,,,,,
adityankale190895/DentalPresence.in:7d82f5d4ef9dd86e2fe5ee056c31dbde5449235c:32482485988:1,7d82f5d4ef9dd86e2fe5ee056c31dbde5449235c,2026-08-21T12:34:14.221Z,FULL,352,352,32482485988,.github/workflows/cloudflare-staging-deploy.yml,failure,skipped,NOT_EXECUTED,1,EVIDENCE_NOT_EXECUTED,,,,,,
adityankale190895/DentalPresence.in:160247fe63e960e8031d4318e403a87c81e96f20:32483759674:1,160247fe63e960e8031d4318e403a87c81e96f20,2026-08-21T12:49:59.052Z,SELECTIVE,0,352,32483759674,.github/workflows/cloudflare-staging-deploy.yml,failure,skipped,NOT_EXECUTED,1,EVIDENCE_NOT_EXECUTED,,,,,,
