logicalEventKey,headSha,predictionCreatedAt,planMode,testsSelectedDiffci,testsTotalFull,recordedRunId,recordedRunPath,recordedConclusion,contaminationReason,evidenceRunsForHead,retroVerdict,retroEvidenceRunId,retroEvidenceConclusion,retroEvidenceCreatedAt,retroEvidenceCompletedAt,predictionPrecededRetroEvidence,predictionPrecededRetroEvidenceStart
adityankale190895/DiffCI.com:39faa170edd7d3d5ef5e9bb1b46297d854e09252:32563752741:1,39faa170edd7d3d5ef5e9bb1b46297d854e09252,2026-08-22T09:00:05.824Z,FULL,80,80,32563752741,.github/workflows/_one-off-build-runner-image.yml,failure,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,32563747922,failure,2026-08-22T08:59:53Z,2026-08-22T09:01:09Z,true,false
adityankale190895/DiffCI.com:8acf96d8c57b6b0d69fd46ad1618fb6633483755:33035140593:1,8acf96d8c57b6b0d69fd46ad1618fb6633483755,2026-08-27T09:54:10.157Z,SELECTIVE,0,162,33035140593,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33035140541,success,2026-08-27T03:02:24Z,2026-08-27T03:04:43Z,false,false
adityankale190895/DiffCI.com:5a0471b60330d04ca34585809cbb8acdf3759f15:33060609533:1,5a0471b60330d04ca34585809cbb8acdf3759f15,2026-08-27T09:54:11.298Z,FULL,162,162,33060609533,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33060609517,success,2026-08-27T09:53:32Z,2026-08-27T09:57:58Z,true,false
adityankale190895/DiffCI.com:05e137c166d1689ee876d78814bdb7dc40bdc8af:33069527904:1,05e137c166d1689ee876d78814bdb7dc40bdc8af,2026-08-27T11:56:05.575Z,FULL,163,163,33069527904,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33069527820,success,2026-08-27T11:55:46Z,2026-08-27T11:58:59Z,true,false
adityankale190895/DiffCI.com:2633568152dc6935f54c0be0b192acfc980702d3:33158480809:1,2633568152dc6935f54c0be0b192acfc980702d3,2026-08-28T09:13:45.211Z,SELECTIVE,1,164,33158480809,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33158480834,success,2026-08-28T09:13:31Z,2026-08-28T09:16:42Z,true,false
adityankale190895/DiffCI.com:a5a4ef15cf304ce92ec81fbaac4675a36593e521:33161473505:1,a5a4ef15cf304ce92ec81fbaac4675a36593e521,2026-08-28T09:57:42.838Z,FULL,164,164,33161473505,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33161473499,success,2026-08-28T09:57:29Z,2026-08-28T10:00:47Z,true,false
adityankale190895/DiffCI.com:9e1cb23d8bba035aea9c87a817e6786a0cdaaaa2:33180874820:1,9e1cb23d8bba035aea9c87a817e6786a0cdaaaa2,2026-08-28T14:50:00.448Z,SELECTIVE,0,164,33180874820,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33180874745,success,2026-08-28T14:34:50Z,2026-08-28T14:39:52Z,false,false
adityankale190895/DiffCI.com:9b5d100b705fa85fa634210cdafe00d7e9b65b45:33182109372:1,9b5d100b705fa85fa634210cdafe00d7e9b65b45,2026-08-28T14:50:02.100Z,FULL,164,164,33182109372,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33182109391,success,2026-08-28T14:49:41Z,2026-08-28T14:52:27Z,true,false
adityankale190895/DiffCI.com:cb48ab59dd4cdc68381f03a3413fa62d52964ed1:33182692487:1,cb48ab59dd4cdc68381f03a3413fa62d52964ed1,2026-08-28T14:56:58.222Z,SELECTIVE,0,164,33182692487,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33182692503,success,2026-08-28T14:56:41Z,2026-08-28T15:09:14Z,true,false
adityankale190895/DiffCI.com:c3cc1fe918f37ea36b399c902dce881d346720d9:33186525246:1,c3cc1fe918f37ea36b399c902dce881d346720d9,2026-08-29T05:54:28.626Z,FULL,167,167,33186525246,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33186525187,success,2026-08-28T15:43:18Z,2026-08-28T15:51:15Z,false,false
adityankale190895/DiffCI.com:54400da759af75ad57efc371d953e5c96e7adf01:33188929923:1,54400da759af75ad57efc371d953e5c96e7adf01,2026-08-29T05:54:32.057Z,SELECTIVE,0,167,33188929923,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33188929847,success,2026-08-28T16:13:22Z,2026-08-28T17:23:10Z,false,false
