"repository","index","head","base","subject","status","policy","smallerSuite","baselineObserver1Ms","candidateObserver1Ms","baselineNet1Ms","baselineNet2Ms","baselineObserver2Ms","candidateObserver2Ms","net1Ms","net2Ms","repeatableNetSavings","fault","policyEquivalent"
"vue-test-utils","0","93321272b33fe931da71d636654b41f45058ed0c","f3bbb6b4a40b195924df3198a59bd1b1db82533e","fix(mount): throw the first error encountered during mount (#2428)","FULL_POLICY_MEASURED","FULL","False","3244","1171",,,"2453","1356",,,"False","DETECTED","True"
"vue-test-utils","1","b12beb07f1d1f34a10cd938c6ff478a6d9d768da","ccf8756942bd35b93896b7e68525c8faf25f78a3","fix: set global provides before running vue plugins","FULL_POLICY_MEASURED","FULL","False","2459","1969",,,"2331","1201",,,"False",,"True"
"vue-test-utils","2","05d9745734f7c734dbb96335f0f0ae0a0abf4ab5","ea8654b186a2770b7423304bc66e5bd6266374c9","fix(stubs): avoid warning on normalized props with Vue v3.4.22","FULL_POLICY_MEASURED","FULL","False","3003","1125",,,"2254","998",,,"False",,"True"
"vue-test-utils","3","5c22b4e6b1ebf0303c9c92bcd445bf1d3de41b21","4e3bda3e2b7d929e5d45648fc13cc6b2a3e5b895","feat: improve returned type for element getter (#2406)","FULL_POLICY_MEASURED","FULL","False","2459","1948",,,"2449","1103",,,"False","DETECTED","True"
"vue-test-utils","4","8e499e7c74e080ece97febe49ffa8e095a2d67ed","1c3f00a41db8dad63eafff54c05dd8246fc5c86c","fix: renderStubDefaultSlot with scoped slots","FULL_POLICY_MEASURED","FULL","False","2982","1068",,,"2146","1071",,,"False",,"True"
"vue-test-utils","5","05f76b63b7a45fc05c0ec840dbaf179fa0d750ab","6aa82265f04b4ce0767c59a12405ca3cbca7a9fa","fix: always provide access to global property (#2386)","FULL_POLICY_MEASURED","FULL","False","2112","1857",,,"2156","1129",,,"False",,"True"
"vue-test-utils","6","38ed11b64bbd795bbd17519157bc386ac81af44b","2f518e3d7cf5053c204ef8ce448bf301770112eb","fix: update attachTo type to support SVGElement (#2375)","FULL_POLICY_MEASURED","FULL","False","3372","1368",,,"2521","1308",,,"False",,"True"
"vue-test-utils","7","362d04be50f262ca7ee2278d7f9c1fe021b06622","d5e5064b42874d8432b8e15018f3256664eaf4c4","fix: circular references in props cause maximum call stack size exceeded","FULL_POLICY_MEASURED","FULL","False","2265","1893",,,"2241","1202",,,"False","DETECTED","True"
"vue-router","0","24ff936bed41166a03f365ab1437960f6426bed1","ec0bff17f1a37b815219cd6a5b0a12e4a595af59","feat: memory history stores state (#2491)","SELECTIVE_POLICY_MEASURED","SELECTIVE","True","3449","1662","-372","-1877","2939","1727","1415","-90","False","DETECTED","True"
"vue-router","1","2ddd19fcfb9877b6952d55c75989fea6ba6a1367","b89559ce362ff5dfa1ebe2523405981ac1edcd0c","fix: missing viewTransition prop on RouterLink (#2465)","SELECTIVE_POLICY_MEASURED","SELECTIVE","True","2619","2129","-1767","-1800","2702","1508","-1277","-1310","False",,"True"
"vue-router","2","0ce408dadbb45a4790e2ccee311a032cc7c6d957","9222413d81b7b6577b88ea304f9f24e0cfdbde94","feat(types): add support for children routes as union (#2475)","FULL_POLICY_MEASURED","FULL","False","3360","1394",,,"2716","1287",,,"False",,"True"
"vue-router","3","3753ede2e6bf2cdf8955bb6b22deb7af8de45d94","b2e08358956055fb86eb544e390d18ff31bf073a","chore: upgrade to Prettier 3 (#2467)","FULL_POLICY_MEASURED","FULL","False","3128","2137",,,"3033","1425",,,"False","DETECTED","True"
"vue-router","4","c73e83f25471e1690b3f6d32cdc793819408f0ff","84dd1a17607ed0dc173f244893bdf1730bea88a2","chore: up ts and docs","FULL_POLICY_MEASURED","FULL","False","3675","1739",,,"3250","1690",,,"False",,"True"
"vue-router","5","84dd1a17607ed0dc173f244893bdf1730bea88a2","0eaaeb9697acd40ad524d913d0348748e9797acb","chore: up deps","FULL_POLICY_MEASURED","FULL","False","3050","2256",,,"2820","1524",,,"False",,"True"
