"repository","index","head","base","repeat","order","baselineMs","candidateMs","savedOverheadMs","baselinePreObserveMs","candidatePreObserveMs","baselineGraphMs","candidateGraphMs","baselineAdapterMs","candidateAdapterMs","decisionEquivalent"
"reka-ui","0","c06c994dc1d85ebce1e69947454b6273b9fc7692","764f0781ef3927cebdf8a5825dcf56d055d37b06","0","baseline,candidate","4685","3565","1120","702","567","3047","2658","1896.345011","1452.596918","True"
"reka-ui","0","c06c994dc1d85ebce1e69947454b6273b9fc7692","764f0781ef3927cebdf8a5825dcf56d055d37b06","1","candidate,baseline","4576","3958","618","530","542","3775","3128","2487.282481","1737.238282","True"
"reka-ui","1","764f0781ef3927cebdf8a5825dcf56d055d37b06","9a42432958af9d22db5903a19abf3167911b7103","0","candidate,baseline","5251","5585","-334","569","1334","4389","3268","3289.610157","1968.473925","True"
"reka-ui","1","764f0781ef3927cebdf8a5825dcf56d055d37b06","9a42432958af9d22db5903a19abf3167911b7103","1","baseline,candidate","4834","3826","1008","651","755","3892","2742","2472.264167","1594.898742","True"
"reka-ui","2","1593f678c615ce94193f3146ebf9588011708ab9","7567e33b00524b44302bbb8a428703da911a32af","0","baseline,candidate","4731","3397","1334","664","553","3158","2575","1982.450826","1468.356725","True"
"reka-ui","2","1593f678c615ce94193f3146ebf9588011708ab9","7567e33b00524b44302bbb8a428703da911a32af","1","candidate,baseline","4334","4595","-261","774","545","3267","3708","1885.789163","2172.290427","True"
"reka-ui","3","7567e33b00524b44302bbb8a428703da911a32af","97fd052aa95996dc57556d7161dbdcaa270075d8","0","candidate,baseline","5037","4780","257","571","580","4140","3220","2684.440773","1915.198489","True"
"reka-ui","3","7567e33b00524b44302bbb8a428703da911a32af","97fd052aa95996dc57556d7161dbdcaa270075d8","1","baseline,candidate","4657","4311","346","732","596","3663","3431","2404.167222","2059.043279","True"
"reka-ui","4","97fd052aa95996dc57556d7161dbdcaa270075d8","e0343918af243a6c808da06c1abb115021839c56","0","baseline,candidate","4840","3945","895","551","719","3364","2968","1939.925821","1702.263416","True"
"reka-ui","4","97fd052aa95996dc57556d7161dbdcaa270075d8","e0343918af243a6c808da06c1abb115021839c56","1","candidate,baseline","4768","3291","1477","548","555","3976","2489","2699.252987","1415.029542","True"
"reka-ui","5","e0343918af243a6c808da06c1abb115021839c56","b9125cfd73c6f86158d2c86bae3326cf0d7a9cf9","0","candidate,baseline","5222","5035","187","672","545","4221","3496","2952.496862","2099.197457","True"
"reka-ui","5","e0343918af243a6c808da06c1abb115021839c56","b9125cfd73c6f86158d2c86bae3326cf0d7a9cf9","1","baseline,candidate","3802","3514","288","554","669","3026","2557","2020.324664","1574.931643","True"
"reka-ui","6","b9125cfd73c6f86158d2c86bae3326cf0d7a9cf9","f950796b9a3760cb4db1052687587365cc5e3293","0","baseline,candidate","5538","3779","1759","764","710","3814","2766","2418.02178","1642.967727","True"
"reka-ui","6","b9125cfd73c6f86158d2c86bae3326cf0d7a9cf9","f950796b9a3760cb4db1052687587365cc5e3293","1","candidate,baseline","3627","3538","89","534","513","2869","2711","1847.467955","1497.307675","True"
"reka-ui","7","f950796b9a3760cb4db1052687587365cc5e3293","e4ece4c953cc7c7755055de5232b062d1af4fe59","0","candidate,baseline","3899","4020","-121","520","684","3084","2418","1867.251408","1353.671197","True"
"reka-ui","7","f950796b9a3760cb4db1052687587365cc5e3293","e4ece4c953cc7c7755055de5232b062d1af4fe59","1","baseline,candidate","4588","4425","163","604","559","3742","3572","2584.023003","2138.316212","True"
"vue-test-utils","0","93321272b33fe931da71d636654b41f45058ed0c","f3bbb6b4a40b195924df3198a59bd1b1db82533e","0","baseline,candidate","2231","1420","811","473","489","786","769","346.015555","284.003482","True"
"vue-test-utils","0","93321272b33fe931da71d636654b41f45058ed0c","f3bbb6b4a40b195924df3198a59bd1b1db82533e","1","candidate,baseline","1767","1261","506","648","481","928","624","332.798214","199.49156","True"
