"index","head","status","policy","repetition","arm","inventoryMatches","declaredTests","actualTests","observerMs","graphMs","adapterMs","scriptCompileMs","fullMs","policyMs","netSavedMs","fault"
"0","f950796b9a3760cb4db1052687587365cc5e3293","FULL_POLICY_MEASURED","FULL","1","uncached","True","62","62","8213","7117","4846.46559","3995.2481140000064","71692","71692","-8213","DETECTED"
"0","f950796b9a3760cb4db1052687587365cc5e3293","FULL_POLICY_MEASURED","FULL","1","incremental","True","62","62","9610","8947","7571.391573","6107.631576","71692","71692","-9610","DETECTED"
"0","f950796b9a3760cb4db1052687587365cc5e3293","FULL_POLICY_MEASURED","FULL","2","uncached","True","62","62","6827","6106","4928.125867","4055.0559959999964","77059","77059","-6827","DETECTED"
"0","f950796b9a3760cb4db1052687587365cc5e3293","FULL_POLICY_MEASURED","FULL","2","incremental","True","62","62","8748","8087","6801.278138","5497.824516999995","77059","77059","-8748","DETECTED"
"1","b9125cfd73c6f86158d2c86bae3326cf0d7a9cf9","FULL_POLICY_MEASURED","FULL","1","uncached","True","62","62","8055","7254","6016.870597","4978.520717000005","75257","75257","-8055",
"1","b9125cfd73c6f86158d2c86bae3326cf0d7a9cf9","FULL_POLICY_MEASURED","FULL","1","incremental","True","62","62","9239","8524","7120.467432","6127.291355999988","75257","75257","-9239",
"1","b9125cfd73c6f86158d2c86bae3326cf0d7a9cf9","FULL_POLICY_MEASURED","FULL","2","uncached","True","62","62","7585","6826","5548.506685","4599.699025","76462","76462","-7585",
"1","b9125cfd73c6f86158d2c86bae3326cf0d7a9cf9","FULL_POLICY_MEASURED","FULL","2","incremental","True","62","62","9615","8945","7501.888085","6450.866645999991","76462","76462","-9615",
"2","e0343918af243a6c808da06c1abb115021839c56","FULL_POLICY_MEASURED","FULL","1","uncached","True","62","62","8208","7443","5929.818916","4918.798844999995","73846","73846","-8208",
"2","e0343918af243a6c808da06c1abb115021839c56","FULL_POLICY_MEASURED","FULL","1","incremental","True","62","62","9494","8747","7261.946999","6242.106762000005","73846","73846","-9494",
"2","e0343918af243a6c808da06c1abb115021839c56","FULL_POLICY_MEASURED","FULL","2","uncached","True","62","62","7760","7028","5833.754645","4831.167303999991","75598","75598","-7760",
"2","e0343918af243a6c808da06c1abb115021839c56","FULL_POLICY_MEASURED","FULL","2","incremental","True","62","62","9314","8610","7332.562526","6315.334392000004","75598","75598","-9314",
"3","97fd052aa95996dc57556d7161dbdcaa270075d8","FULL_POLICY_MEASURED","FULL","1","uncached","True","62","62","7869","7145","5829.139367","4834.7501600000105","73264","73264","-7869","DETECTED"
