"repository","index","head","base","repeat","arm","status","measured","policy","fallbackReasonCount","fallbackReasons","processMs","graphMs","adapterMs","cacheHits","cacheMisses","cacheWriteFailures","fullMs","policyMs","netSavedMs","fault"
"reka-ui","0","f950796b9a3760cb4db1052687587365cc5e3293","e4ece4c953cc7c7755055de5232b062d1af4fe59","1","uncached","FULL_POLICY_MEASURED","True","FULL","520","Declared Vue suite has no discovered tests; Vue: component could not be analyzed; Vue: runtime component/directive resolution requires full validation; Dependency graph confidence is UNSAFE; full validation required; Repository declares vitest but no test files were discovered; full validation required","4485","3128","1387.681893",,,,"74278","74278","-4485","DETECTED"
"reka-ui","0","f950796b9a3760cb4db1052687587365cc5e3293","e4ece4c953cc7c7755055de5232b062d1af4fe59","1","cold","FULL_POLICY_MEASURED","True","FULL","520","Declared Vue suite has no discovered tests; Vue: component could not be analyzed; Vue: runtime component/directive resolution requires full validation; Dependency graph confidence is UNSAFE; full validation required; Repository declares vitest but no test files were discovered; full validation required","4063","2663","1547.487509","0","598","0","74278","74278","-4063","DETECTED"
"reka-ui","0","f950796b9a3760cb4db1052687587365cc5e3293","e4ece4c953cc7c7755055de5232b062d1af4fe59","1","warm","FULL_POLICY_MEASURED","True","FULL","520","Declared Vue suite has no discovered tests; Vue: component could not be analyzed; Vue: runtime component/directive resolution requires full validation; Dependency graph confidence is UNSAFE; full validation required; Repository declares vitest but no test files were discovered; full validation required","1885","1181","98.967574","598","0","0","74278","74278","-1885","DETECTED"
"reka-ui","0","f950796b9a3760cb4db1052687587365cc5e3293","e4ece4c953cc7c7755055de5232b062d1af4fe59","1","incremental","FULL_POLICY_MEASURED","True","FULL","520","Declared Vue suite has no discovered tests; Vue: component could not be analyzed; Vue: runtime component/directive resolution requires full validation; Dependency graph confidence is UNSAFE; full validation required; Repository declares vitest but no test files were discovered; full validation required","2958","2297","1386.100962","0","598","0","74278","74278","-2958","DETECTED"
"reka-ui","0","f950796b9a3760cb4db1052687587365cc5e3293","e4ece4c953cc7c7755055de5232b062d1af4fe59","2","uncached","FULL_POLICY_MEASURED","True","FULL","520","Declared Vue suite has no discovered tests; Vue: component could not be analyzed; Vue: runtime component/directive resolution requires full validation; Dependency graph confidence is UNSAFE; full validation required; Repository declares vitest but no test files were discovered; full validation required","2878","2193","1167.601085",,,,"72685","72685","-2878","DETECTED"
"reka-ui","0","f950796b9a3760cb4db1052687587365cc5e3293","e4ece4c953cc7c7755055de5232b062d1af4fe59","2","cold","FULL_POLICY_MEASURED","True","FULL","520","Declared Vue suite has no discovered tests; Vue: component could not be analyzed; Vue: runtime component/directive resolution requires full validation; Dependency graph confidence is UNSAFE; full validation required; Repository declares vitest but no test files were discovered; full validation required","2745","2141","1327.596192","0","598","0","72685","72685","-2745","DETECTED"
"reka-ui","0","f950796b9a3760cb4db1052687587365cc5e3293","e4ece4c953cc7c7755055de5232b062d1af4fe59","2","warm","FULL_POLICY_MEASURED","True","FULL","520","Declared Vue suite has no discovered tests; Vue: component could not be analyzed; Vue: runtime component/directive resolution requires full validation; Dependency graph confidence is UNSAFE; full validation required; Repository declares vitest but no test files were discovered; full validation required","1578","967","68.080278","598","0","0","72685","72685","-1578","DETECTED"
"reka-ui","0","f950796b9a3760cb4db1052687587365cc5e3293","e4ece4c953cc7c7755055de5232b062d1af4fe59","2","incremental","FULL_POLICY_MEASURED","True","FULL","520","Declared Vue suite has no discovered tests; Vue: component could not be analyzed; Vue: runtime component/directive resolution requires full validation; Dependency graph confidence is UNSAFE; full validation required; Repository declares vitest but no test files were discovered; full validation required","3399","2661","1705.569824","0","598","0","72685","72685","-3399","DETECTED"
"reka-ui","1","b9125cfd73c6f86158d2c86bae3326cf0d7a9cf9","f950796b9a3760cb4db1052687587365cc5e3293","1","uncached","FULL_POLICY_MEASURED","True","FULL","520","Declared Vue suite has no discovered tests; Vue: component could not be analyzed; Vue: runtime component/directive resolution requires full validation; Dependency graph confidence is UNSAFE; full validation required; Repository declares vitest but no test files were discovered; full validation required","3041","2278","1204.683127",,,,"74597","74597","-3041",
"reka-ui","1","b9125cfd73c6f86158d2c86bae3326cf0d7a9cf9","f950796b9a3760cb4db1052687587365cc5e3293","1","cold","FULL_POLICY_MEASURED","True","FULL","520","Declared Vue suite has no discovered tests; Vue: component could not be analyzed; Vue: runtime component/directive resolution requires full validation; Dependency graph confidence is UNSAFE; full validation required; Repository declares vitest but no test files were discovered; full validation required","3711","2970","1982.285979","0","598","0","74597","74597","-3711",
