"index","head","status","policy","repetition","sourceRun","declaredFiles","actualFullFiles","executedSelectedFiles","protectedRuntimeTests","observerMs","graphMs","fullMs","policyMs","netSavedMs","netSavedPercent","fault"
"0","f950796b9a3760cb4db1052687587365cc5e3293","SELECTIVE_POLICY_MEASURED","SELECTIVE","1","reka-runtime-20260913-qualified","62","62","17","17","11620","10216","94895","38855","44420","46.80963169819274","DETECTED"
"0","f950796b9a3760cb4db1052687587365cc5e3293","SELECTIVE_POLICY_MEASURED","SELECTIVE","2","reka-runtime-20260913-qualified","62","62","17","17","10068","9185","99062","37600","51394","51.88064040701783","DETECTED"
"1","b9125cfd73c6f86158d2c86bae3326cf0d7a9cf9","SELECTIVE_POLICY_MEASURED","SELECTIVE","1","reka-runtime-20260913-qualified","62","62","19","17","9325","8353","89628","47720","32583","36.353594858749496",
"1","b9125cfd73c6f86158d2c86bae3326cf0d7a9cf9","SELECTIVE_POLICY_MEASURED","SELECTIVE","2","reka-runtime-20260913-qualified","62","62","19","17","8714","7720","90483","49591","32178","35.562481350087864",
"2","e0343918af243a6c808da06c1abb115021839c56","SELECTIVE_POLICY_MEASURED","SELECTIVE","1","reka-runtime-20260913-qualified","62","62","19","17","8288","7396","89366","42209","38869","43.49417004229797",
"2","e0343918af243a6c808da06c1abb115021839c56","SELECTIVE_POLICY_MEASURED","SELECTIVE","2","reka-runtime-20260913-qualified","62","62","19","17","8997","8111","92954","41683","42274","45.47840867525873",
"3","97fd052aa95996dc57556d7161dbdcaa270075d8","SELECTIVE_POLICY_MEASURED","SELECTIVE","1","reka-runtime-20260913-qualified","62","62","30","17","9896","8724","96539","55718","30925","32.03368586788759","DETECTED"
"3","97fd052aa95996dc57556d7161dbdcaa270075d8","SELECTIVE_POLICY_MEASURED","SELECTIVE","2","reka-runtime-20260913-qualified","62","62","30","17","11098","10001","94811","52945","30768","32.45193068314858","DETECTED"
"4","7567e33b00524b44302bbb8a428703da911a32af","SELECTIVE_POLICY_MEASURED","SELECTIVE","1","reka-runtime-20260913-second-half","62","62","18","17","10643","9426","72289","28692","32954","45.58646543734178",
"4","7567e33b00524b44302bbb8a428703da911a32af","SELECTIVE_POLICY_MEASURED","SELECTIVE","2","reka-runtime-20260913-second-half","62","62","18","17","8249","7487","70320","28358","33713","47.94226393629124",
"5","1593f678c615ce94193f3146ebf9588011708ab9","BASELINE_RED_OR_UNREADABLE","SELECTIVE","1","reka-runtime-20260913-second-half","62","62",,"17","7063","6425",,,,,
"5","1593f678c615ce94193f3146ebf9588011708ab9","BASELINE_RED_OR_UNREADABLE","SELECTIVE","2","reka-runtime-20260913-second-half","62","62",,"17","6995","6197",,,,,
"6","764f0781ef3927cebdf8a5825dcf56d055d37b06","BASELINE_RED_OR_UNREADABLE","FULL","1","reka-runtime-20260913-second-half","62","62",,"17","6952","6254",,,,,
"6","764f0781ef3927cebdf8a5825dcf56d055d37b06","BASELINE_RED_OR_UNREADABLE","FULL","2","reka-runtime-20260913-second-half","62","62",,"17","7162","6466",,,,,
"7","c06c994dc1d85ebce1e69947454b6273b9fc7692","FULL_POLICY_MEASURED","FULL","1","reka-runtime-20260913-second-half","62","62","62","17","7438","6745","68865","68865","-7438","-10.80084222754665","DETECTED"
"7","c06c994dc1d85ebce1e69947454b6273b9fc7692","FULL_POLICY_MEASURED","FULL","2","reka-runtime-20260913-second-half","62","62","62","17","7718","7076","72170","72170","-7718","-10.694194263544409","DETECTED"
