category,metric,value,unit,scope,evidence_level,source,note,study_id
stage0,repositories,20,repositories,Stage 0 corpus,MEASURED,docs/research/2026-08-21-stage0-full-experiment-final-report.md,,diffci-oes-2026-v1
stage0,commit_deltas,2000,deltas,Stage 0 corpus,MEASURED,docs/research/2026-08-21-stage0-full-experiment-final-report.md,"COUNT(DISTINCT logical_delta_key) = COUNT(*) = 2000, verified by direct D1 query",diffci-oes-2026-v1
stage0,deltas_in_test_level_aggregates,1899,deltas,Stage 0 corpus,MEASURED,docs/research/2026-08-21-stage0-full-experiment-final-report.md,excludes sindresorhus/ky (unreliable AVA test counts) and one impossible-count anomaly,diffci-oes-2026-v1
stage0,deltas_excluded_as_anomalous,1,deltas,pmndrs/valtio,PROCESS_FACT,docs/research/2026-08-21-stage0-full-experiment-final-report.md,0.05% of deltas; testsSelectedByDiffci > testsTotal; excluded rather than patched mid-benchmark,diffci-oes-2026-v1
stage0,mandatory_fallback_share,60.3,percent,"1,899 deltas (1,146)",MEASURED,docs/research/2026-08-21-stage0-full-experiment-final-report.md,,diffci-oes-2026-v1
stage0,baseline_already_optimal_share,9.9,percent,"1,899 deltas (188)",MEASURED,docs/research/2026-08-21-stage0-full-experiment-final-report.md,,diffci-oes-2026-v1
stage0,discriminative_opportunity_share,29.8,percent,"1,899 deltas (565)",MEASURED,docs/research/2026-08-21-stage0-full-experiment-final-report.md,,diffci-oes-2026-v1
stage0,diffci_win_rate_within_opportunities,94.3,percent,"565 opportunity deltas (533 wins, 32 ties)",MEASURED,docs/research/2026-08-21-stage0-full-experiment-final-report.md,,diffci-oes-2026-v1
stage0,path_rule_wins_within_opportunities,0,deltas,565 opportunity deltas,MEASURED,docs/research/2026-08-21-stage0-full-experiment-final-report.md,,diffci-oes-2026-v1
stage0,median_reduction_vs_path_within_opportunities,95.0,percent,565 opportunity deltas,MEASURED,docs/research/2026-08-21-stage0-full-experiment-final-report.md,,diffci-oes-2026-v1
stage0,mean_reduction_vs_path_within_opportunities,66.0,percent,565 opportunity deltas,MEASURED,docs/research/2026-08-21-stage0-full-experiment-final-report.md,,diffci-oes-2026-v1
stage0,aggregate_reduction_vs_full,13.2,percent,"1,899 deltas, test-count weighted",MEASURED,docs/research/2026-08-21-stage0-full-experiment-final-report.md,,diffci-oes-2026-v1
stage0,path_rule_aggregate_reduction_vs_full,9.4,percent,"1,899 deltas, test-count weighted",MEASURED,docs/research/2026-08-21-stage0-full-experiment-final-report.md,,diffci-oes-2026-v1
